sensor_id,timestamp,aqi,traffic_density,energy_kwh
sensor_kallio,2024-01-12 16:30:00,65.0,0.096,344.8
sensor_kamppi,2024-01-12 16:30:00,63.4,0.095,347.8
sensor_pasila,2024-01-12 16:30:00,61.9,0.121,349.9
sensor_kallio,2024-01-12 17:00:00,72.6,0.095,464.8
sensor_kamppi,2024-01-12 17:00:00,72.6,0.06,381.1
sensor_pasila,2024-01-12 17:00:00,62.5,0.087,375.5
sensor_kallio,2024-01-12 17:30:00,59.1,0.1,377.3
sensor_kamppi,2024-01-12 17:30:00,66.0,0.107,388.5
sensor_pasila,2024-01-12 17:30:00,70.0,0.103,430.5
sensor_kallio,2024-01-12 18:00:00,68.5,0.094,433.2
sensor_kamppi,2024-01-12 18:00:00,68.5,0.111,402.5
sensor_pasila,2024-01-12 18:00:00,68.5,0.083,459.0
sensor_kallio,2024-01-12 18:30:00,65.1,0.081,436.3
sensor_kamppi,2024-01-12 18:30:00,78.3,0.078,402.1
sensor_pasila,2024-01-12 18:30:00,62.6,0.138,468.1
sensor_kallio,2024-01-12 19:00:00,43.2,0.036,431.6
sensor_kamppi,2024-01-12 19:00:00,31.2,0.095,414.4
sensor_pasila,2024-01-12 19:00:00,34.6,0.064,482.7
sensor_kallio,2024-01-12 19:30:00,36.4,0.084,411.5
sensor_kamppi,2024-01-12 19:30:00,45.6,0.118,459.6
sensor_pasila,2024-01-12 19:30:00,37.7,0.086,421.8
sensor_kallio,2024-01-12 20:00:00,28.2,0.088,422.3
sensor_kamppi,2024-01-12 20:00:00,28.0,0.109,423.7
sensor_pasila,2024-01-12 20:00:00,31.2,0.129,417.0
sensor_kallio,2024-01-12 20:30:00,36.2,0.099,412.1
sensor_kamppi,2024-01-12 20:30:00,24.9,0.075,413.6
sensor_pasila,2024-01-12 20:30:00,38.0,0.093,418.6
sensor_kallio,2024-01-12 21:00:00,30.0,0.077,362.2
sensor_kamppi,2024-01-12 21:00:00,35.5,0.079,350.1
sensor_pasila,2024-01-12 21:00:00,29.1,0.105,332.5
sensor_kallio,2024-01-12 21:30:00,33.5,0.108,366.1
sensor_kamppi,2024-01-12 21:30:00,26.0,0.108,339.9
sensor_pasila,2024-01-12 21:30:00,27.8,0.124,335.4
sensor_kallio,2024-01-12 22:00:00,25.9,0.083,324.2
sensor_kamppi,2024-01-12 22:00:00,16.0,0.082,289.5
sensor_pasila,2024-01-12 22:00:00,38.7,0.092,300.8
sensor_kallio,2024-01-12 22:30:00,31.2,0.126,269.7
sensor_kamppi,2024-01-12 22:30:00,19.6,0.107,298.6
sensor_pasila,2024-01-12 22:30:00,23.2,0.079,314.3
sensor_kallio,2024-01-12 23:00:00,32.3,0.159,239.7
sensor_kamppi,2024-01-12 23:00:00,15.2,0.064,291.9
sensor_pasila,2024-01-12 23:00:00,25.5,0.054,288.7
sensor_kallio,2024-01-12 23:30:00,24.8,0.133,276.7
sensor_kamppi,2024-01-12 23:30:00,23.4,0.127,288.8
sensor_pasila,2024-01-12 23:30:00,37.5,0.088,266.1
sensor_kallio,2024-01-13 00:00:00,40.7,0.133,316.3
sensor_kamppi,2024-01-13 00:00:00,21.9,0.069,282.6
sensor_pasila,2024-01-13 00:00:00,25.5,0.094,287.4
sensor_kallio,2024-01-13 00:30:00,35.5,0.023,295.2
sensor_kamppi,2024-01-13 00:30:00,23.6,0.118,321.7
sensor_pasila,2024-01-13 00:30:00,24.3,0.107,290.3
sensor_kallio,2024-01-13 01:00:00,33.6,0.063,275.0
sensor_kamppi,2024-01-13 01:00:00,46.3,0.161,294.2
sensor_pasila,2024-01-13 01:00:00,26.4,0.084,253.8
sensor_kallio,2024-01-13 01:30:00,27.3,0.048,259.8
sensor_kamppi,2024-01-13 01:30:00,42.8,0.167,281.1
sensor_pasila,2024-01-13 01:30:00,32.6,0.12,240.8
sensor_kallio,2024-01-13 02:00:00,27.6,0.124,253.3
sensor_kamppi,2024-01-13 02:00:00,29.8,0.126,219.9
sensor_pasila,2024-01-13 02:00:00,39.4,0.076,269.3
sensor_kallio,2024-01-13 02:30:00,33.5,0.122,277.8
sensor_kamppi,2024-01-13 02:30:00,23.4,0.125,268.1
sensor_pasila,2024-01-13 02:30:00,40.6,0.084,281.8
sensor_kallio,2024-01-13 03:00:00,41.1,0.087,292.5
sensor_kamppi,2024-01-13 03:00:00,32.3,0.128,270.4
sensor_pasila,2024-01-13 03:00:00,36.5,0.102,292.7
sensor_kallio,2024-01-13 03:30:00,35.4,0.118,284.4
sensor_kamppi,2024-01-13 03:30:00,27.4,0.128,301.9
sensor_pasila,2024-01-13 03:30:00,38.6,0.113,255.4
sensor_kallio,2024-01-13 04:00:00,47.9,0.06,314.1
sensor_kamppi,2024-01-13 04:00:00,54.4,0.085,322.0
sensor_pasila,2024-01-13 04:00:00,35.3,0.125,282.9
sensor_kallio,2024-01-13 04:30:00,36.0,0.087,313.2
sensor_kamppi,2024-01-13 04:30:00,21.9,0.151,317.4
sensor_pasila,2024-01-13 04:30:00,36.4,0.15,310.7
sensor_kallio,2024-01-13 05:00:00,43.8,0.154,393.8
sensor_kamppi,2024-01-13 05:00:00,43.6,0.113,363.7
sensor_pasila,2024-01-13 05:00:00,44.1,0.145,349.0
sensor_kallio,2024-01-13 05:30:00,36.3,0.094,371.6
sensor_kamppi,2024-01-13 05:30:00,33.7,0.126,372.1
sensor_pasila,2024-01-13 05:30:00,47.4,0.114,354.9
sensor_kallio,2024-01-13 06:00:00,42.3,0.314,387.8
sensor_kamppi,2024-01-13 06:00:00,37.1,0.312,396.5
sensor_pasila,2024-01-13 06:00:00,40.0,0.299,390.3
sensor_kallio,2024-01-13 06:30:00,43.2,0.338,405.1
sensor_kamppi,2024-01-13 06:30:00,43.7,0.285,378.2
sensor_pasila,2024-01-13 06:30:00,46.0,0.33,433.8
sensor_kallio,2024-01-13 07:00:00,68.0,0.575,440.3
sensor_kamppi,2024-01-13 07:00:00,37.0,0.639,456.1
sensor_pasila,2024-01-13 07:00:00,52.8,0.601,433.7
sensor_kallio,2024-01-13 07:30:00,30.2,0.621,449.7
sensor_kamppi,2024-01-13 07:30:00,50.6,0.559,453.7
sensor_pasila,2024-01-13 07:30:00,49.5,0.59,414.2
sensor_kallio,2024-01-13 08:00:00,42.6,0.747,434.2
sensor_kamppi,2024-01-13 08:00:00,40.1,0.802,427.5
sensor_pasila,2024-01-13 08:00:00,50.2,0.758,465.8
sensor_kallio,2024-01-13 08:30:00,45.1,0.744,410.8
sensor_kamppi,2024-01-13 08:30:00,61.0,0.763,439.5
sensor_pasila,2024-01-13 08:30:00,51.9,0.804,434.1
sensor_kallio,2024-01-13 09:00:00,48.3,0.566,429.2
sensor_kamppi,2024-01-13 09:00:00,58.3,0.598,395.6
sensor_pasila,2024-01-13 09:00:00,55.1,0.602,410.7
sensor_kallio,2024-01-13 09:30:00,51.5,0.598,416.6
sensor_kamppi,2024-01-13 09:30:00,47.6,0.574,374.3
sensor_pasila,2024-01-13 09:30:00,55.4,0.58,439.6
sensor_kallio,2024-01-13 10:00:00,41.1,0.304,373.8
sensor_kamppi,2024-01-13 10:00:00,46.6,0.314,367.6
sensor_pasila,2024-01-13 10:00:00,56.2,0.292,298.4
sensor_kallio,2024-01-13 10:30:00,54.2,0.302,347.3
sensor_kamppi,2024-01-13 10:30:00,40.3,0.315,369.9
sensor_pasila,2024-01-13 10:30:00,61.5,0.275,385.7
sensor_kallio,2024-01-13 11:00:00,54.1,0.13,321.2
sensor_kamppi,2024-01-13 11:00:00,62.8,0.13,342.6
sensor_pasila,2024-01-13 11:00:00,54.1,0.108,288.4
sensor_kallio,2024-01-13 11:30:00,61.5,0.129,313.0
sensor_kamppi,2024-01-13 11:30:00,55.1,0.142,330.8
sensor_pasila,2024-01-13 11:30:00,51.6,0.112,265.2
sensor_kallio,2024-01-13 12:00:00,52.8,0.098,297.2
sensor_kamppi,2024-01-13 12:00:00,46.6,0.136,266.7
sensor_pasila,2024-01-13 12:00:00,62.2,0.077,264.4
sensor_kallio,2024-01-13 12:30:00,58.3,0.141,289.3
sensor_kamppi,2024-01-13 12:30:00,40.2,0.138,272.3
sensor_pasila,2024-01-13 12:30:00,45.5,0.089,265.5
sensor_kallio,2024-01-13 13:00:00,46.8,0.14,268.7
sensor_kamppi,2024-01-13 13:00:00,63.8,0.074,224.6
sensor_pasila,2024-01-13 13:00:00,54.7,0.101,275.3
sensor_kallio,2024-01-13 13:30:00,57.0,0.105,274.0
sensor_kamppi,2024-01-13 13:30:00,53.2,0.107,297.6
sensor_pasila,2024-01-13 13:30:00,58.8,0.069,226.4
sensor_kallio,2024-01-13 14:00:00,60.0,0.087,269.8
sensor_kamppi,2024-01-13 14:00:00,45.6,0.11,264.2
sensor_pasila,2024-01-13 14:00:00,44.5,0.046,224.6
sensor_kallio,2024-01-13 14:30:00,43.1,0.137,253.7
sensor_kamppi,2024-01-13 14:30:00,50.3,0.134,298.7
sensor_pasila,2024-01-13 14:30:00,47.7,0.121,264.9
sensor_kallio,2024-01-13 15:00:00,34.4,0.129,313.4
sensor_kamppi,2024-01-13 15:00:00,39.2,0.106,317.9
sensor_pasila,2024-01-13 15:00:00,48.8,0.071,307.7
sensor_kallio,2024-01-13 15:30:00,50.1,0.123,306.9
sensor_kamppi,2024-01-13 15:30:00,37.2,0.113,335.9
sensor_pasila,2024-01-13 15:30:00,45.0,0.115,332.2
sensor_kallio,2024-01-13 16:00:00,52.5,0.14,367.6
sensor_kamppi,2024-01-13 16:00:00,59.2,0.141,345.4
sensor_pasila,2024-01-13 16:00:00,46.7,0.107,348.3
sensor_kallio,2024-01-13 16:30:00,42.8,0.04,376.2
sensor_kamppi,2024-01-13 16:30:00,53.6,0.135,388.9
sensor_pasila,2024-01-13 16:30:00,42.1,0.095,392.8
sensor_kallio,2024-01-13 17:00:00,49.6,0.078,361.4
sensor_kamppi,2024-01-13 17:00:00,39.7,0.068,409.8
sensor_pasila,2024-01-13 17:00:00,46.9,0.057,414.1
sensor_kallio,2024-01-13 17:30:00,33.5,0.174,409.6
sensor_kamppi,2024-01-13 17:30:00,46.8,0.069,365.9
sensor_pasila,2024-01-13 17:30:00,37.2,0.071,432.0
sensor_kallio,2024-01-13 18:00:00,30.9,0.125,444.7
sensor_kamppi,2024-01-13 18:00:00,37.8,0.025,425.3
sensor_pasila,2024-01-13 18:00:00,43.7,0.116,439.3
sensor_kallio,2024-01-13 18:30:00,28.8,0.104,441.4
sensor_kamppi,2024-01-13 18:30:00,34.0,0.113,422.1
sensor_pasila,2024-01-13 18:30:00,28.9,0.081,422.5
sensor_kallio,2024-01-13 19:00:00,44.5,0.122,435.3
sensor_kamppi,2024-01-13 19:00:00,30.5,0.117,466.2
sensor_pasila,2024-01-13 19:00:00,31.2,0.081,459.3
sensor_kallio,2024-01-13 19:30:00,39.4,0.087,459.4
sensor_kamppi,2024-01-13 19:30:00,41.5,0.072,441.8
sensor_pasila,2024-01-13 19:30:00,36.0,0.15,448.5
sensor_kallio,2024-01-13 20:00:00,36.9,0.104,419.0
sensor_kamppi,2024-01-13 20:00:00,19.6,0.056,416.4
sensor_pasila,2024-01-13 20:00:00,35.5,0.088,368.6
sensor_kallio,2024-01-13 20:30:00,25.9,0.116,411.1
sensor_kamppi,2024-01-13 20:30:00,27.1,0.072,413.9
sensor_pasila,2024-01-13 20:30:00,32.8,0.095,398.5
sensor_kallio,2024-01-13 21:00:00,32.7,0.108,349.4
sensor_kamppi,2024-01-13 21:00:00,48.2,0.082,365.3
sensor_pasila,2024-01-13 21:00:00,23.8,0.07,380.4
sensor_kallio,2024-01-13 21:30:00,36.7,0.106,348.5
sensor_kamppi,2024-01-13 21:30:00,35.1,0.07,383.4
sensor_pasila,2024-01-13 21:30:00,18.5,0.088,346.0
sensor_kallio,2024-01-13 22:00:00,39.5,0.094,335.9
sensor_kamppi,2024-01-13 22:00:00,44.9,0.114,278.4
sensor_pasila,2024-01-13 22:00:00,26.6,0.085,319.2
sensor_kallio,2024-01-13 22:30:00,33.1,0.06,326.9
sensor_kamppi,2024-01-13 22:30:00,20.3,0.089,316.3
sensor_pasila,2024-01-13 22:30:00,29.8,0.147,334.0
sensor_kallio,2024-01-13 23:00:00,20.8,0.066,295.4
sensor_kamppi,2024-01-13 23:00:00,31.1,0.119,272.9
sensor_pasila,2024-01-13 23:00:00,36.2,0.123,288.2
sensor_kallio,2024-01-13 23:30:00,25.3,0.118,240.2
sensor_kamppi,2024-01-13 23:30:00,27.6,0.081,256.9
sensor_pasila,2024-01-13 23:30:00,25.3,0.04,297.2
sensor_kallio,2024-01-14 00:00:00,28.9,0.095,321.2
sensor_kamppi,2024-01-14 00:00:00,41.1,0.14,302.6
sensor_pasila,2024-01-14 00:00:00,31.3,0.073,325.9
sensor_kallio,2024-01-14 00:30:00,30.6,0.127,327.7
sensor_kamppi,2024-01-14 00:30:00,38.2,0.116,312.9
sensor_pasila,2024-01-14 00:30:00,24.2,0.11,344.9
sensor_kallio,2024-01-14 01:00:00,28.6,0.08,284.8
sensor_kamppi,2024-01-14 01:00:00,48.4,0.069,224.1
sensor_pasila,2024-01-14 01:00:00,28.5,0.103,269.6
sensor_kallio,2024-01-14 01:30:00,29.8,0.085,259.5
sensor_kamppi,2024-01-14 01:30:00,23.3,0.111,283.9
sensor_pasila,2024-01-14 01:30:00,23.7,0.147,281.3
sensor_kallio,2024-01-14 02:00:00,37.4,0.092,263.1
sensor_kamppi,2024-01-14 02:00:00,22.3,0.148,286.3
sensor_pasila,2024-01-14 02:00:00,32.3,0.06,251.9
sensor_kallio,2024-01-14 02:30:00,37.7,0.088,242.1
sensor_kamppi,2024-01-14 02:30:00,35.1,0.074,284.7
sensor_pasila,2024-01-14 02:30:00,38.2,0.12,243.8
sensor_kallio,2024-01-14 03:00:00,37.4,0.134,230.6
sensor_kamppi,2024-01-14 03:00:00,38.1,0.143,308.7
sensor_pasila,2024-01-14 03:00:00,31.2,0.109,293.3
sensor_kallio,2024-01-14 03:30:00,44.4,0.045,232.3
sensor_kamppi,2024-01-14 03:30:00,37.5,0.115,270.0
sensor_pasila,2024-01-14 03:30:00,34.4,0.139,302.0
sensor_kallio,2024-01-14 04:00:00,34.7,0.11,288.1
sensor_kamppi,2024-01-14 04:00:00,56.2,0.064,289.8
sensor_pasila,2024-01-14 04:00:00,34.4,0.074,336.7
sensor_kallio,2024-01-14 04:30:00,55.1,0.114,304.5
sensor_kamppi,2024-01-14 04:30:00,46.1,0.079,338.0
sensor_pasila,2024-01-14 04:30:00,38.7,0.118,297.4
sensor_kallio,2024-01-14 05:00:00,40.6,0.097,362.3
sensor_kamppi,2024-01-14 05:00:00,50.9,0.09,341.8
sensor_pasila,2024-01-14 05:00:00,39.6,0.136,360.1
sensor_kallio,2024-01-14 05:30:00,41.7,0.154,361.2
sensor_kamppi,2024-01-14 05:30:00,25.2,0.155,386.0
sensor_pasila,2024-01-14 05:30:00,43.3,0.092,366.6
sensor_kallio,2024-01-14 06:00:00,48.4,0.269,410.1
sensor_kamppi,2024-01-14 06:00:00,57.9,0.348,411.1
sensor_pasila,2024-01-14 06:00:00,47.6,0.294,400.4
sensor_kallio,2024-01-14 06:30:00,54.8,0.328,420.9
sensor_kamppi,2024-01-14 06:30:00,39.8,0.343,429.4
sensor_pasila,2024-01-14 06:30:00,38.6,0.332,412.0
sensor_kallio,2024-01-14 07:00:00,49.9,0.523,407.1
sensor_kamppi,2024-01-14 07:00:00,57.9,0.561,452.6
sensor_pasila,2024-01-14 07:00:00,41.4,0.539,474.5
sensor_kallio,2024-01-14 07:30:00,54.4,0.58,440.8
sensor_kamppi,2024-01-14 07:30:00,40.9,0.594,459.9
sensor_pasila,2024-01-14 07:30:00,45.9,0.598,402.5
sensor_kallio,2024-01-14 08:00:00,63.1,0.78,435.7
sensor_kamppi,2024-01-14 08:00:00,47.1,0.792,426.2
sensor_pasila,2024-01-14 08:00:00,52.3,0.741,417.9
sensor_kallio,2024-01-14 08:30:00,57.8,0.738,445.6
sensor_kamppi,2024-01-14 08:30:00,47.0,0.746,432.9
sensor_pasila,2024-01-14 08:30:00,47.2,0.772,434.6
sensor_kallio,2024-01-14 09:00:00,58.4,0.606,433.0
sensor_kamppi,2024-01-14 09:00:00,47.5,0.603,405.1
sensor_pasila,2024-01-14 09:00:00,52.3,0.562,399.1
sensor_kallio,2024-01-14 09:30:00,56.8,0.573,394.0
sensor_kamppi,2024-01-14 09:30:00,60.9,0.594,384.2
sensor_pasila,2024-01-14 09:30:00,52.9,0.617,430.5
sensor_kallio,2024-01-14 10:00:00,49.8,0.266,354.6
sensor_kamppi,2024-01-14 10:00:00,67.0,0.321,316.1
sensor_pasila,2024-01-14 10:00:00,57.9,0.233,400.6
sensor_kallio,2024-01-14 10:30:00,59.5,0.287,364.1
sensor_kamppi,2024-01-14 10:30:00,60.2,0.284,371.2
sensor_pasila,2024-01-14 10:30:00,52.9,0.292,392.5
sensor_kallio,2024-01-14 11:00:00,39.7,0.147,283.3
sensor_kamppi,2024-01-14 11:00:00,52.2,0.124,362.1
sensor_pasila,2024-01-14 11:00:00,51.4,0.141,298.8
sensor_kallio,2024-01-14 11:30:00,60.2,0.13,298.1
sensor_kamppi,2024-01-14 11:30:00,72.7,0.169,316.6
sensor_pasila,2024-01-14 11:30:00,66.1,0.126,294.9
sensor_kallio,2024-01-14 12:00:00,48.0,0.142,260.1
sensor_kamppi,2024-01-14 12:00:00,65.5,0.087,236.2
sensor_pasila,2024-01-14 12:00:00,49.6,0.114,296.3
sensor_kallio,2024-01-14 12:30:00,62.7,0.117,286.1
sensor_kamppi,2024-01-14 12:30:00,27.1,0.114,273.2
sensor_pasila,2024-01-14 12:30:00,52.0,0.086,290.0
sensor_kallio,2024-01-14 13:00:00,60.4,0.159,254.1
sensor_kamppi,2024-01-14 13:00:00,44.4,0.157,251.6
sensor_pasila,2024-01-14 13:00:00,49.8,0.059,266.4
sensor_kallio,2024-01-14 13:30:00,56.6,0.126,262.5
sensor_kamppi,2024-01-14 13:30:00,57.8,0.117,268.3
sensor_pasila,2024-01-14 13:30:00,58.3,0.126,261.8
sensor_kallio,2024-01-14 14:00:00,46.7,0.124,260.9
sensor_kamppi,2024-01-14 14:00:00,49.0,0.079,315.1
sensor_pasila,2024-01-14 14:00:00,45.6,0.12,286.0
sensor_kallio,2024-01-14 14:30:00,56.6,0.099,274.1
sensor_kamppi,2024-01-14 14:30:00,48.5,0.02,257.2
sensor_pasila,2024-01-14 14:30:00,57.3,0.076,275.1
sensor_kallio,2024-01-14 15:00:00,66.5,0.071,301.1
sensor_kamppi,2024-01-14 15:00:00,45.5,0.04,293.8
sensor_pasila,2024-01-14 15:00:00,40.9,0.116,306.3
sensor_kallio,2024-01-14 15:30:00,33.1,0.124,330.6
sensor_kamppi,2024-01-14 15:30:00,44.4,0.128,322.9
sensor_pasila,2024-01-14 15:30:00,43.4,0.108,314.9
sensor_kallio,2024-01-14 16:00:00,39.3,0.069,370.1
sensor_kamppi,2024-01-14 16:00:00,68.2,0.099,366.2
sensor_pasila,2024-01-14 16:00:00,39.8,0.092,357.9
sensor_kallio,2024-01-14 16:30:00,42.5,0.08,361.0
sensor_kamppi,2024-01-14 16:30:00,39.5,0.137,402.9
sensor_pasila,2024-01-14 16:30:00,41.3,0.089,370.6
sensor_kallio,2024-01-14 17:00:00,46.1,0.077,397.2
sensor_kamppi,2024-01-14 17:00:00,47.9,0.051,452.9
sensor_pasila,2024-01-14 17:00:00,43.5,0.091,405.6
sensor_kallio,2024-01-14 17:30:00,34.5,0.154,406.9
sensor_kamppi,2024-01-14 17:30:00,37.6,0.153,429.2
sensor_pasila,2024-01-14 17:30:00,41.0,0.113,401.9
sensor_kallio,2024-01-14 18:00:00,36.4,0.093,442.3
sensor_kamppi,2024-01-14 18:00:00,49.8,0.159,392.9
sensor_pasila,2024-01-14 18:00:00,50.5,0.131,436.6
sensor_kallio,2024-01-14 18:30:00,35.9,0.044,460.2
sensor_kamppi,2024-01-14 18:30:00,27.9,0.12,428.0
sensor_pasila,2024-01-14 18:30:00,30.8,0.113,446.0
sensor_kallio,2024-01-14 19:00:00,29.4,0.126,472.4
sensor_kamppi,2024-01-14 19:00:00,40.9,0.113,421.6
sensor_pasila,2024-01-14 19:00:00,30.8,0.088,437.7
sensor_kallio,2024-01-14 19:30:00,36.1,0.094,486.1
sensor_kamppi,2024-01-14 19:30:00,41.7,0.071,412.3
sensor_pasila,2024-01-14 19:30:00,27.3,0.07,447.9
sensor_kallio,2024-01-14 20:00:00,31.5,0.079,420.4
sensor_kamppi,2024-01-14 20:00:00,39.0,0.111,408.3
sensor_pasila,2024-01-14 20:00:00,33.3,0.06,371.7
sensor_kallio,2024-01-14 20:30:00,27.9,0.076,392.2
sensor_kamppi,2024-01-14 20:30:00,31.8,0.086,382.5
sensor_pasila,2024-01-14 20:30:00,33.0,0.11,398.7
sensor_kallio,2024-01-14 21:00:00,37.3,0.109,369.7
sensor_kamppi,2024-01-14 21:00:00,27.9,0.112,375.6
sensor_pasila,2024-01-14 21:00:00,22.0,0.132,351.7
sensor_kallio,2024-01-14 21:30:00,36.2,0.031,353.3
sensor_kamppi,2024-01-14 21:30:00,14.6,0.096,365.6
sensor_pasila,2024-01-14 21:30:00,33.6,0.101,336.9
sensor_kallio,2024-01-14 22:00:00,39.5,0.06,304.5
sensor_kamppi,2024-01-14 22:00:00,22.6,0.082,283.1
sensor_pasila,2024-01-14 22:00:00,35.8,0.122,312.6
sensor_kallio,2024-01-14 22:30:00,29.4,0.071,309.0
sensor_kamppi,2024-01-14 22:30:00,21.3,0.103,319.1
sensor_pasila,2024-01-14 22:30:00,29.2,0.112,322.9
sensor_kallio,2024-01-14 23:00:00,35.6,0.159,243.9
sensor_kamppi,2024-01-14 23:00:00,17.7,0.064,268.5
sensor_pasila,2024-01-14 23:00:00,22.0,0.084,289.2
sensor_kallio,2024-01-14 23:30:00,35.1,0.149,289.5
sensor_kamppi,2024-01-14 23:30:00,40.1,0.084,265.3
sensor_pasila,2024-01-14 23:30:00,34.4,0.126,234.1
sensor_kallio,2024-01-15 00:00:00,20.7,0.071,294.0
sensor_kamppi,2024-01-15 00:00:00,43.6,0.154,317.8
sensor_pasila,2024-01-15 00:00:00,32.1,0.158,320.2
sensor_kallio,2024-01-15 00:30:00,34.3,0.111,318.7
sensor_kamppi,2024-01-15 00:30:00,43.9,0.122,312.9
sensor_pasila,2024-01-15 00:30:00,28.4,0.108,277.9
sensor_kallio,2024-01-15 01:00:00,34.8,0.104,278.9
sensor_kamppi,2024-01-15 01:00:00,20.0,0.114,276.1
sensor_pasila,2024-01-15 01:00:00,31.6,0.111,255.9
sensor_kallio,2024-01-15 01:30:00,21.4,0.114,228.4
sensor_kamppi,2024-01-15 01:30:00,37.6,0.162,279.9
sensor_pasila,2024-01-15 01:30:00,35.9,0.149,293.3
sensor_kallio,2024-01-15 02:00:00,49.5,0.074,251.2
sensor_kamppi,2024-01-15 02:00:00,38.3,0.052,257.9
sensor_pasila,2024-01-15 02:00:00,33.8,0.139,279.3
sensor_kallio,2024-01-15 02:30:00,38.9,0.121,259.2
sensor_kamppi,2024-01-15 02:30:00,36.4,0.123,278.2
sensor_pasila,2024-01-15 02:30:00,29.9,0.114,256.5
sensor_kallio,2024-01-15 03:00:00,37.9,0.135,267.4
sensor_kamppi,2024-01-15 03:00:00,26.8,0.073,261.0
sensor_pasila,2024-01-15 03:00:00,39.0,0.095,260.5
sensor_kallio,2024-01-15 03:30:00,41.4,0.105,286.5
sensor_kamppi,2024-01-15 03:30:00,57.9,0.157,279.3
sensor_pasila,2024-01-15 03:30:00,37.7,0.134,298.0
sensor_kallio,2024-01-15 04:00:00,36.4,0.069,328.5
sensor_kamppi,2024-01-15 04:00:00,41.1,0.124,322.1
sensor_pasila,2024-01-15 04:00:00,35.4,0.09,332.6
sensor_kallio,2024-01-15 04:30:00,37.8,0.082,305.7
sensor_kamppi,2024-01-15 04:30:00,42.9,0.09,345.9
sensor_pasila,2024-01-15 04:30:00,43.0,0.061,315.8
sensor_kallio,2024-01-15 05:00:00,53.0,0.244,352.5
sensor_kamppi,2024-01-15 05:00:00,42.2,0.105,373.1
sensor_pasila,2024-01-15 05:00:00,44.4,0.154,340.3
sensor_kallio,2024-01-15 05:30:00,47.5,0.2,389.1
sensor_kamppi,2024-01-15 05:30:00,45.6,0.144,379.9
sensor_pasila,2024-01-15 05:30:00,41.3,0.069,327.6
sensor_kallio,2024-01-15 06:00:00,54.7,0.339,406.1
sensor_kamppi,2024-01-15 06:00:00,37.1,0.29,382.9
sensor_pasila,2024-01-15 06:00:00,43.8,0.351,396.1
sensor_kallio,2024-01-15 06:30:00,39.5,0.259,412.7
sensor_kamppi,2024-01-15 06:30:00,35.6,0.319,402.4
sensor_pasila,2024-01-15 06:30:00,53.5,0.317,418.1
sensor_kallio,2024-01-15 07:00:00,63.2,0.584,442.4
sensor_kamppi,2024-01-15 07:00:00,76.4,0.594,438.8
sensor_pasila,2024-01-15 07:00:00,67.2,0.511,414.0
sensor_kallio,2024-01-15 07:30:00,80.1,0.608,459.2
sensor_kamppi,2024-01-15 07:30:00,76.3,0.59,436.7
sensor_pasila,2024-01-15 07:30:00,64.5,0.589,423.4
sensor_kallio,2024-01-15 08:00:00,71.2,0.72,435.0
sensor_kamppi,2024-01-15 08:00:00,84.6,0.774,416.9
sensor_pasila,2024-01-15 08:00:00,76.7,0.748,396.1
sensor_kallio,2024-01-15 08:30:00,82.1,0.731,447.9
sensor_kamppi,2024-01-15 08:30:00,67.6,0.773,461.3
sensor_pasila,2024-01-15 08:30:00,76.8,0.766,423.2
sensor_kallio,2024-01-15 09:00:00,75.2,0.55,429.6
sensor_kamppi,2024-01-15 09:00:00,89.3,0.569,409.4
sensor_pasila,2024-01-15 09:00:00,74.1,0.544,398.3
sensor_kallio,2024-01-15 09:30:00,69.0,0.525,414.5
sensor_kamppi,2024-01-15 09:30:00,67.4,0.582,355.4
sensor_pasila,2024-01-15 09:30:00,77.8,0.563,396.1
sensor_kallio,2024-01-15 10:00:00,59.7,0.295,367.9
sensor_kamppi,2024-01-15 10:00:00,54.1,0.313,346.1
sensor_pasila,2024-01-15 10:00:00,53.5,0.292,376.1
sensor_kallio,2024-01-15 10:30:00,49.6,0.322,372.5
sensor_kamppi,2024-01-15 10:30:00,47.8,0.321,354.0
sensor_pasila,2024-01-15 10:30:00,50.4,0.275,340.5
sensor_kallio,2024-01-15 11:00:00,56.2,0.139,305.1
sensor_kamppi,2024-01-15 11:00:00,62.5,0.172,313.4
sensor_pasila,2024-01-15 11:00:00,44.3,0.16,272.0
sensor_kallio,2024-01-15 11:30:00,47.8,0.141,341.9
sensor_kamppi,2024-01-15 11:30:00,29.2,0.099,296.9
sensor_pasila,2024-01-15 11:30:00,57.5,0.096,295.2
sensor_kallio,2024-01-15 12:00:00,62.1,0.132,260.3
sensor_kamppi,2024-01-15 12:00:00,63.7,0.108,254.3
sensor_pasila,2024-01-15 12:00:00,50.0,0.087,250.9
sensor_kallio,2024-01-15 12:30:00,56.8,0.136,243.6
sensor_kamppi,2024-01-15 12:30:00,60.3,0.074,271.0
sensor_pasila,2024-01-15 12:30:00,55.1,0.136,272.0
sensor_kallio,2024-01-15 13:00:00,54.1,0.149,290.3
sensor_kamppi,2024-01-15 13:00:00,62.9,0.123,268.2
sensor_pasila,2024-01-15 13:00:00,60.6,0.123,244.4
sensor_kallio,2024-01-15 13:30:00,53.1,0.113,230.1
sensor_kamppi,2024-01-15 13:30:00,46.6,0.152,235.3
sensor_pasila,2024-01-15 13:30:00,54.9,0.11,277.3
sensor_kallio,2024-01-15 14:00:00,45.0,0.077,273.5
sensor_kamppi,2024-01-15 14:00:00,44.2,0.146,276.1
